/root/miniconda3/bin/python /root/autodl-tmp/combined/pointnet.pytorch-master-3.16/utils/train_classification.py
bash: line 0: cd: /root/autodl-tmp/combined/pointnet-master/utils: No such file or directory
/root/autodl-tmp/combined/pointclip_sch/clip/clip.py:23: UserWarning: PyTorch version 1.7.1 or higher is recommended
  warnings.warn("PyTorch version 1.7.1 or higher is recommended")
Namespace(backbone='', batchSize=100, config_file='/root/autodl-tmp/combined/pointclip_sch/configs/trainers/PointCLIP_ZS/rn50.yaml', dataset='/root/autodl-tmp/combined/data/modelnet40_ply_hdf5_2048', dataset_config_file='/root/autodl-tmp/combined/pointclip_sch/configs/datasets/modelnet40.yaml', dataset_type='modelnet40', feature_transform=False, model='', nepoch=200, num_points=2500, opts=[], outf='cls', output_dir='output/PointCLIP_ZS/rn50/modelnet40', resume='', seed=2, trainer='PointCLIP_ZS', workers=4, zero_shot=True)
Random Seed:  4362
{'airplane': 0, 'bathtub': 1, 'bed': 2, 'bench': 3, 'bookshelf': 4, 'bottle': 5, 'bowl': 6, 'car': 7, 'chair': 8, 'cone': 9, 'cup': 10, 'curtain': 11, 'desk': 12, 'door': 13, 'dresser': 14, 'flower_pot': 15, 'glass_box': 16, 'guitar': 17, 'keyboard': 18, 'lamp': 19, 'laptop': 20, 'mantel': 21, 'monitor': 22, 'night_stand': 23, 'person': 24, 'piano': 25, 'plant': 26, 'radio': 27, 'range_hood': 28, 'sink': 29, 'sofa': 30, 'stairs': 31, 'stool': 32, 'table': 33, 'tent': 34, 'toilet': 35, 'tv_stand': 36, 'vase': 37, 'wardrobe': 38, 'xbox': 39}
{'airplane': 0, 'bathtub': 1, 'bed': 2, 'bench': 3, 'bookshelf': 4, 'bottle': 5, 'bowl': 6, 'car': 7, 'chair': 8, 'cone': 9, 'cup': 10, 'curtain': 11, 'desk': 12, 'door': 13, 'dresser': 14, 'flower_pot': 15, 'glass_box': 16, 'guitar': 17, 'keyboard': 18, 'lamp': 19, 'laptop': 20, 'mantel': 21, 'monitor': 22, 'night_stand': 23, 'person': 24, 'piano': 25, 'plant': 26, 'radio': 27, 'range_hood': 28, 'sink': 29, 'sofa': 30, 'stairs': 31, 'stool': 32, 'table': 33, 'tent': 34, 'toilet': 35, 'tv_stand': 36, 'vase': 37, 'wardrobe': 38, 'xbox': 39}
9840 2468
classes 40
Loading evaluator: Classification
/root/miniconda3/lib/python3.8/site-packages/torch/nn/functional.py:2952: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/root/miniconda3/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[Epoch 0] Train loss: 2.483, accuracy: 0.414
[Epoch 0] Test loss: 2.015, accuracy: 0.460
[Epoch 1] Train loss: 1.688, accuracy: 0.624
[Epoch 1] Test loss: 1.942, accuracy: 0.494
[Epoch 2] Train loss: 1.446, accuracy: 0.694
[Epoch 2] Test loss: 2.425, accuracy: 0.417
[Epoch 3] Train loss: 1.348, accuracy: 0.723
[Epoch 3] Test loss: 1.395, accuracy: 0.665
[Epoch 4] Train loss: 1.269, accuracy: 0.749
[Epoch 4] Test loss: 1.456, accuracy: 0.631
[Epoch 5] Train loss: 1.208, accuracy: 0.769
[Epoch 5] Test loss: 1.293, accuracy: 0.682
[Epoch 6] Train loss: 1.149, accuracy: 0.790
[Epoch 6] Test loss: 1.647, accuracy: 0.599
[Epoch 7] Train loss: 1.143, accuracy: 0.786
[Epoch 7] Test loss: 1.213, accuracy: 0.720
[Epoch 8] Train loss: 1.123, accuracy: 0.790
[Epoch 8] Test loss: 1.460, accuracy: 0.639
[Epoch 9] Train loss: 1.105, accuracy: 0.800
[Epoch 9] Test loss: 1.266, accuracy: 0.693
[Epoch 10] Train loss: 1.079, accuracy: 0.812
[Epoch 10] Test loss: 1.130, accuracy: 0.730
[Epoch 11] Train loss: 1.055, accuracy: 0.816
[Epoch 11] Test loss: 1.368, accuracy: 0.678
[Epoch 12] Train loss: 1.025, accuracy: 0.824
[Epoch 12] Test loss: 1.205, accuracy: 0.722
[Epoch 13] Train loss: 1.021, accuracy: 0.830
[Epoch 13] Test loss: 1.160, accuracy: 0.739
[Epoch 14] Train loss: 1.000, accuracy: 0.832
[Epoch 14] Test loss: 1.150, accuracy: 0.743
[Epoch 15] Train loss: 0.990, accuracy: 0.835
[Epoch 15] Test loss: 1.165, accuracy: 0.734
[Epoch 16] Train loss: 0.977, accuracy: 0.840
[Epoch 16] Test loss: 1.305, accuracy: 0.730
[Epoch 17] Train loss: 0.977, accuracy: 0.842
[Epoch 17] Test loss: 1.005, accuracy: 0.793
[Epoch 18] Train loss: 0.945, accuracy: 0.851
[Epoch 18] Test loss: 1.081, accuracy: 0.774
[Epoch 19] Train loss: 0.907, accuracy: 0.862
[Epoch 19] Test loss: 0.895, accuracy: 0.825
[Epoch 20] Train loss: 0.876, accuracy: 0.874
[Epoch 20] Test loss: 0.914, accuracy: 0.812
[Epoch 21] Train loss: 0.864, accuracy: 0.876
[Epoch 21] Test loss: 0.916, accuracy: 0.823
[Epoch 22] Train loss: 0.859, accuracy: 0.879
[Epoch 22] Test loss: 0.892, accuracy: 0.823
[Epoch 23] Train loss: 0.858, accuracy: 0.879
[Epoch 23] Test loss: 0.976, accuracy: 0.806
[Epoch 24] Train loss: 0.851, accuracy: 0.884
[Epoch 24] Test loss: 0.905, accuracy: 0.818
[Epoch 25] Train loss: 0.846, accuracy: 0.882
[Epoch 25] Test loss: 0.954, accuracy: 0.803
